,Year,DOY,MST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],PR1 Temperature [deg C],PH1 Temperature [deg C],Pressure [mBar],Zenith Angle [degrees],Azimuth Angle [degrees],RaZON Status,RaZON Time [hhmm],Logger Battery [VDC],Logger Temp [deg C]
0,2021,180,0,0,0,0,14.6,14.2,790.2,117.042,358.917,0,0,13.31,17.64
0,2021,180,1,0,0,0,14.6,14.2,790.2,117.046,359.175,0,1,13.27,17.62
0,2021,180,2,0,0,0,14.6,14.2,790.2,117.048,359.433,0,2,13.31,17.62
0,2021,180,3,0,0,0,14.6,14.2,790.2,117.048,359.433,0,2,13.27,17.59
0,2021,180,4,0,0,0,14.6,14.2,790.2,117.050,359.949,0,4,13.3,17.56
0,2021,180,5,0,0,0,14.6,14.2,790.2,117.050,0.2071,0,5,13.27,17.56
0,2021,180,6,0,0,0,14.6,14.2,790.2,117.049,0.465,0,6,13.27,17.54
0,2021,180,7,0,0,0,14.6,14.2,790.2,117.047,0.723,0,7,13.31,17.54
0,2021,180,8,0,0,0,14.6,14.2,790.2,117.044,0.9809,0,8,13.27,17.51
0,2021,180,9,0,0,0,14.6,14.2,790.2,117.040,1.2388,0,9,13.27,17.51
0,2021,180,10,0,0,0,14.5,14.2,790.2,117.036,1.4966,0,10,13.27,17.49
0,2021,180,11,0,0,0,14.5,14.2,790.2,117.030,1.7545,0,11,13.27,17.46
0,2021,180,12,0,0,0,14.5,14.2,790.2,117.024,2.0123,0,12,13.27,17.46
0,2021,180,13,0,0,0,14.5,14.2,790.2,117.024,2.0123,0,12,13.27,17.46
0,2021,180,14,0,0,0,14.5,14.2,790.2,117.009,2.5278,0,14,13.27,17.44
0,2021,180,15,0,0,0,14.4,14.1,790.2,117.000,2.7854,0,15,13.27,17.41
0,2021,180,16,0,0,0,14.3,14.1,790.2,116.990,3.043,0,16,13.31,17.41
0,2021,180,17,0,0,0,14.3,14,790.2,116.980,3.3005,0,17,13.3,17.39
0,2021,180,18,0,0,0,14.2,13.9,790.2,116.968,3.558,0,18,13.27,17.39
0,2021,180,19,0,0,0,14.1,13.9,790.2,116.956,3.8154,0,19,13.27,17.36
